Species_BirdTree,Wing.Length,Secondary1,Hand.Wing.Index,Hand.Wing.Area,Data.type,Total.wing.area,Wingspan,Wing.aspect.ratio,Source_Total.wing.area_Wingspan,Max.Elevation.1,Source_Max.Elevation.1,Max.Elevation.2,Source_Max.Elevation.2,Min.Elevation.1,Source_Min.Elevation.1,Min.Elevation.2,Source_Min.Elevation.2,Mean.Elevation.1,Mean.Elevation.2,Centroid.latitude,Max.latitude,Min.latitude,Temp. seasonality,Habitat.Openness,Body.Mass,Flight.Mode,Aerial.Lifestyle,Aerial.Lifestyle.Certainty,Migration,Trophic.Level,Habitat.type
Accipiter novaehollandiae,235.5,165.0,30.0,61037.22,Observed,NA,NA,NA,NA,1600,del Hoyo (2020),1600,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); White et al. (2015); Quintero et al. (2018),800,800,-19.05,43.64,0.00,278.83,1,326.1,soaring,3,A,1,2ry consumer,Terrestrial
Accipiter ovampensis,222.4,138.5,38.4,48384.30,Observed,NA,NA,NA,NA,1800,Quintero et al. (2018),1800,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),900,900,-8.53,27.22,0.00,208.73,2,195.0,soaring,3,A,1,2ry consumer,Terrestrial
Accipiter poliocephalus,210.5,142.8,32.1,47217.20,Observed,NA,NA,NA,NA,1500,White et al. (2015),1500,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),750,750,-5.32,11.66,0.00,44.95,1,214.8,flapping,3,B,1,2ry consumer,Terrestrial
Accipiter poliogaster,240.4,172.2,29.6,65026.07,Observed,NA,NA,NA,NA,2000,del Hoyo (2020),2000,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),1000,1000,-7.81,30.38,0.00,95.77,1,315.0,flapping,3,B,2,2ry consumer,Terrestrial
Accipiter princeps,266.3,188.5,29.2,78850.13,Observed,NA,NA,NA,NA,1430,White et al. (2015),1430,White et al. (2015),760,White et al. (2015),760,White et al. (2015); Quintero et al. (2018),1095,1095,-5.35,6.11,4.23,33.35,1,214.8,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter rhodogaster,172.6,122.4,29.7,33185.02,Observed,NA,NA,NA,NA,2000,White et al. (2015),2000,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),1000,1000,-1.93,5.70,0.00,41.86,1,172.7,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter rufitorques,217.6,142.0,34.1,48536.35,Observed,NA,NA,NA,NA,900,White et al. (2015),900,White et al. (2015),0,White et al. (2015),0,White et al. (2015),450,450,-17.45,19.20,16.15,149.94,1,209.0,soaring,3,A,1,2ry consumer,Terrestrial
Accipiter rufiventris,218.6,134.3,38.1,46115.41,Observed,NA,NA,NA,NA,3700,Quintero et al. (2018),3700,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1850,1850,-7.01,34.04,0.00,205.59,1,198.0,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter soloensis,187.8,114.4,39.0,33747.49,Observed,NA,NA,NA,NA,1500,del Hoyo (2020),1500,del Hoyo (2020); Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),750,750,31.97,47.24,20.24,833.75,1,164.8,soaring,3,B,3,2ry consumer,Terrestrial
Accipiter striatus,184.2,124.2,32.5,35936.11,Observed,59050.00,567.00,5.44,Viscor et al. (1987); Shiomi et al. (2024),3500,del Hoyo (2020),3700,White et al. (2015),0,del Hoyo (2020),0,del Hoyo (2020); White et al. (2015); Quintero et al. (2018),1750,1850,NA,NA,NA,NA,1,130.6,soaring,3,A,3,2ry consumer,Terrestrial
Accipiter superciliosus,146.4,105.2,26.9,24192.27,Observed,NA,NA,NA,NA,1800,del Hoyo (2020),1800,del Hoyo (2020); Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),900,900,-6.22,28.11,0.00,89.39,1,96.4,flapping,2,A,1,2ry consumer,Terrestrial
Accipiter tachiro,222.8,161.8,25.7,56625.70,Observed,NA,NA,NA,NA,3000,White et al. (2015),3000,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),1500,1500,-12.54,34.84,0.00,188.50,1,290.2,soaring,3,A,1,2ry consumer,Terrestrial
Accipiter toussenelii,189.0,149.6,24.4,44413.32,Observed,NA,NA,NA,NA,3000,Quintero et al. (2018),3000,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1500,1500,3.51,17.41,0.00,98.82,1,249.3,soaring,3,B,1,2ry consumer,Terrestrial
Accipiter trinotatus,162.9,115.0,27.2,29426.51,Observed,NA,NA,NA,NA,1600,White et al. (2015),1600,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),800,800,-1.81,5.66,0.00,42.85,1,146.0,flapping,2,A,1,2ry consumer,Terrestrial
Accipiter trivirgatus,216.2,166.1,23.0,56408.58,Observed,NA,NA,NA,NA,2289,White et al. (2015),2400,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1144.5,1200,13.91,31.08,0.00,206.55,1,265.0,flapping,2,A,1,2ry consumer,Terrestrial
