Order_Clements,Family_Clements,Species_Clements,Species_BirdTree,Match.type,Daughter,Status
Passeriformes,Meliphagidae,Melipotes carolae,Melipotes fumigatus,1BT to many CL,1,Extant
Passeriformes,Meliphagidae,Melipotes fumigatus,Melipotes fumigatus,1BT to many CL,0,Extant
Passeriformes,Meliphagidae,Melithreptus chloropsis,Melithreptus lunatus,1BT to many CL,1,Extant
Passeriformes,Meliphagidae,Melithreptus lunatus,Melithreptus lunatus,1BT to many CL,0,Extant
Passeriformes,Thraupidae,Melopyrrha grandis,Loxigilla portoricensis,1BT to many CL,1,Extant
Passeriformes,Thraupidae,Melopyrrha portoricensis,Loxigilla portoricensis,1BT to many CL,0,Extant
Gruiformes,Rallidae,Mentocrex beankaensis,Canirallus kioloides,1BT to many CL,1,Extant
Gruiformes,Rallidae,Mentocrex kioloides,Canirallus kioloides,1BT to many CL,0,Extant
Coraciiformes,Meropidae,Merops americanus,Merops viridis,1BT to many CL,1,Extant
Coraciiformes,Meropidae,Merops mentalis,Merops muelleri,1BT to many CL,1,Extant
Coraciiformes,Meropidae,Merops muelleri,Merops muelleri,1BT to many CL,0,Extant
Coraciiformes,Meropidae,Merops viridis,Merops viridis,1BT to many CL,0,Extant
Passeriformes,Meliphagidae,Microptilotis cinereifrons,Meliphaga gracilis,1BT to many CL,1,Extant
Passeriformes,Meliphagidae,Microptilotis gracilis,Meliphaga gracilis,1BT to many CL,0,Extant
Passeriformes,Meliphagidae,Microptilotis imitatrix,Meliphaga gracilis,1BT to many CL,1,Extant
Passeriformes,Sturnidae,Mino dumontii,Mino dumontii,1BT to many CL,0,Extant
Passeriformes,Sturnidae,Mino kreffti,Mino dumontii,1BT to many CL,1,Extant
Passeriformes,Tyrannidae,Mionectes macconnelli,Mionectes macconnelli,1BT to many CL,0,Extant
Passeriformes,Tyrannidae,Mionectes roraimae,Mionectes macconnelli,1BT to many CL,1,Extant
Passeriformes,Alaudidae,Mirafra apiata,Mirafra apiata,1BT to many CL,0,Extant
Passeriformes,Alaudidae,Mirafra fasciolata,Mirafra apiata,1BT to many CL,1,Extant
Coraciiformes,Momotidae,Momotus bahamensis,Momotus momota,1BT to many CL,1,Extant
Coraciiformes,Momotidae,Momotus coeruliceps,Momotus momota,1BT to many CL,1,Extant
Coraciiformes,Momotidae,Momotus lessonii,Momotus momota,1BT to many CL,1,Extant
Coraciiformes,Momotidae,Momotus momota,Momotus momota,1BT to many CL,0,Extant
Coraciiformes,Momotidae,Momotus subrufescens,Momotus momota,1BT to many CL,1,Extant
