Species_BirdTree,Migration,Ref.1_max.elevation,Ref.1_min.elevation,Ref.2_max.elevation,Ref.2_min.elevation,Updated_max.elevation,Updated_min.elevation,Source_updated.elevation
Bradypterus barratti,2,2200,350,2200,1370,2200,1300,del Hoyo (2020)
Bradypterus carpalis,1,2050,900,NA,NA,NA,NA,NA
Bradypterus castaneus,2,3000,730,3000,950,NA,NA,NA
Bradypterus caudatus,2,NA,NA,2750,700,2500,700,del Hoyo (2020)
Bradypterus cinnamomeus,1,4100,1300,4100,1300,NA,NA,NA
Bradypterus davidi,3,NA,NA,1200,32,1400,0,del Hoyo (2020)
Bradypterus grandis,1,800,400,NA,NA,NA,NA,NA
Bradypterus graueri,1,2600,1950,2600,1950,NA,NA,NA
Bradypterus lopezi,1,3000,900,3000,900,NA,NA,NA
Bradypterus luteoventris,2,3300,600,3300,2000,3300,200,del Hoyo (2020)
Bradypterus major,2,3600,1200,3600,2400,3600,1200,del Hoyo (2020)
Bradypterus mandelli,2,NA,NA,1830,400,2200,0,del Hoyo (2020)
Bradypterus montis,1,2100,1200,NA,NA,2100,1200,del Hoyo (2020)
Bradypterus palliseri,1,2500,900,2369,900,NA,NA,NA
Bradypterus seebohmi,1,1800,850,1800,850,NA,NA,NA
Bradypterus sylvaticus,1,NA,NA,200,0,NA,NA,NA
Bradypterus tacsanowskius,3,3600,0,3600,2800,3600,0,del Hoyo (2020)
Bradypterus thoracicus,1,NA,NA,NA,NA,4500,75,Birds of the World (2022)
Bradypterus timorensis,1,NA,NA,NA,NA,2100,800,del Hoyo (2020)
Bradypterus victorini,1,NA,NA,800,0,NA,NA,NA
Branta bernicla,3,NA,NA,500,0,1700,0,del Hoyo (2020)
Branta canadensis,3,NA,NA,2000,0,2000,0,del Hoyo (2020)
Branta hutchinsii,3,NA,NA,NA,NA,2000,0,del Hoyo (2020)
Branta leucopsis,3,NA,NA,200,0,1300,0,del Hoyo (2020)
Branta ruficollis,3,NA,NA,200,0,700,0,del Hoyo (2020)
Branta sandvicensis,1,2500,0,NA,NA,NA,NA,NA
Brotogeris chiriri,1,2500,0,1560,0,1600,0,del Hoyo (2020)
