Species_BirdTree,Migration,Ref.1_max.elevation,Ref.1_min.elevation,Ref.2_max.elevation,Ref.2_min.elevation,Updated_max.elevation,Updated_min.elevation,Source_updated.elevation
Lioptilus nigricapillus,2,1825,0,1825,750,1900,0,del Hoyo (2020)
Liosceles thoracicus,1,1000,NA,1100,4,NA,NA,NA
Lipaugus fuscocinereus,1,3000,2000,3100,1800,NA,NA,NA
Lipaugus lanioides,1,1400,0,1400,500,1400,0,del Hoyo (2020)
Lipaugus streptophorus,1,1800,1000,1800,1000,NA,NA,NA
Lipaugus unirufus,1,1200,NA,1600,0,1200,0,del Hoyo (2020)
Lipaugus uropygialis,1,2750,1800,2750,1800,NA,NA,NA
Lipaugus vociferans,1,1400,NA,1400,0,NA,NA,NA
Lipaugus weberi,1,1900,1400,1800,1500,NA,NA,NA
Loboparadisea sericea,1,2000,600,2000,600,NA,NA,NA
Lochmias nematura,1,2780,0,2800,0,NA,NA,NA
Locustella certhiola,3,1900,NA,1900,0,1900,0,del Hoyo (2020)
Locustella fasciolata,3,NA,NA,1000,0,1800,0,del Hoyo (2020)
Locustella fluviatilis,3,NA,NA,1700,0,1700,0,del Hoyo (2020)
Locustella lanceolata,3,NA,NA,1500,NA,1400,0,del Hoyo (2020)
Locustella luscinioides,3,1200,NA,1200,0,1200,0,del Hoyo (2020)
Locustella naevia,3,2000,0,1800,0,NA,NA,NA
Locustella ochotensis,3,NA,NA,400,0,800,0,del Hoyo (2020)
Locustella pleskei,2,350,0,350,0,NA,NA,NA
Locustella pryeri,3,NA,NA,200,0,700,0,del Hoyo (2020)
Loddigesia mirabilis,1,2900,2100,2900,2000,NA,NA,NA
Lonchura atricapilla,1,1700,0,1700,0,NA,NA,NA
Lonchura bicolor,1,2700,NA,2000,0,2700,0,del Hoyo (2020)
Lonchura caniceps,1,2200,NA,2200,0,NA,NA,NA
Lonchura cantans,1,2000,NA,1500,250,2000,0,del Hoyo (2020)
Lonchura castaneothorax,1,1800,0,1800,0,NA,NA,NA
Lonchura cucullata,1,2200,NA,2000,0,NA,NA,NA
Lonchura ferruginosa,1,1500,0,1500,0,NA,NA,NA
Lonchura flaviprymna,1,NA,NA,NA,NA,1300,0,del Hoyo (2020)
Lonchura forbesi,1,1000,0,1000,0,NA,NA,NA
Lonchura fringilloides,1,NA,NA,1000,0,NA,NA,NA
Lonchura fuscans,1,500,0,500,0,NA,NA,NA
Lonchura grandis,1,1300,0,1300,0,NA,NA,NA
Lonchura griseicapilla,1,NA,NA,2000,0,NA,NA,NA
Lonchura hunsteini,1,NA,NA,2200,700,NA,NA,NA
Lonchura kelaarti,1,2100,NA,2100,0,NA,NA,NA
Lonchura leucogastra,1,700,NA,700,0,NA,NA,NA
Lonchura leucogastroides,1,1800,0,1800,0,NA,NA,NA
Lonchura leucosticta,1,NA,NA,NA,NA,100,0,del Hoyo (2020)
Lonchura maja,1,1500,0,1500,0,NA,NA,NA
Lonchura malabarica,1,1200,NA,1200,0,NA,NA,NA
Lonchura malacca,1,2100,0,2100,0,NA,NA,NA
Lonchura melaena,1,1200,NA,1200,0,NA,NA,NA
Lonchura molucca,1,1150,0,1150,0,NA,NA,NA
Lonchura montana,1,4150,2130,4150,2130,NA,NA,NA
Lonchura monticola,1,3900,2700,3900,2100,3900,2100,del Hoyo (2020)
Lonchura nana,1,NA,NA,2000,0,NA,NA,NA
Lonchura nevermanni,1,NA,NA,NA,NA,200,0,del Hoyo (2020)
Lonchura nigerrima,1,NA,NA,NA,NA,200,0,del Hoyo (2020)
Lonchura nigriceps,1,NA,NA,2700,1300,1600,0,del Hoyo (2020)
Lonchura pallida,1,1000,0,1000,0,NA,NA,NA
Lonchura punctulata,1,3000,0,3000,0,NA,NA,NA
Lonchura quinticolor,1,1600,0,NA,NA,NA,NA,NA
Lonchura spectabilis,1,2000,NA,3000,0,3000,0,del Hoyo (2020)
Lonchura striata,1,2500,NA,2500,0,NA,NA,NA
Lonchura stygia,1,NA,NA,NA,NA,100,0,del Hoyo (2020)
Lonchura teerinki,1,2200,1200,2200,1200,NA,NA,NA
Lonchura tristissima,1,1700,NA,1700,0,NA,NA,NA
Lonchura vana,1,2100,1800,2100,1800,NA,NA,NA
Lophaetus occipitalis,1,NA,NA,3000,0,NA,NA,NA
Lophodytes cucullatus,3,1500,0,1500,0,NA,NA,NA
Lophoictinia isura,1,1000,0,1000,0,NA,NA,NA
Lopholaimus antarcticus,1,NA,NA,1000,0,NA,NA,NA
Lophonetta specularioides,1,NA,NA,4800,0,NA,NA,NA
Lophophorus impejanus,1,4500,1800,4500,2100,NA,NA,NA
Lophophorus lhuysii,1,4900,3000,4900,2800,NA,NA,NA
Lophophorus sclateri,1,4200,2500,4200,2500,NA,NA,NA
Lophorina superba,1,2300,1000,2300,1000,NA,NA,NA
Lophornis adorabilis,1,1200,300,1200,300,NA,NA,NA
Lophornis brachylophus,1,NA,NA,1800,900,NA,NA,NA
Lophornis chalybeus,1,1000,100,1000,0,NA,NA,NA
Lophornis delattrei,1,2000,600,2200,500,NA,NA,NA
Lophornis gouldii,1,500,0,800,0,NA,NA,NA
Lophornis helenae,1,1200,100,1200,100,NA,NA,NA
Lophornis magnificus,1,1000,0,1000,0,NA,NA,NA
Lophornis ornatus,1,1000,100,1000,0,NA,NA,NA
Lophornis pavoninus,1,2000,500,2000,500,NA,NA,NA
Lophornis stictolophus,1,1300,0,1300,0,NA,NA,NA
Lophospingus griseocristatus,1,3100,1000,3100,1000,NA,NA,NA
Lophospingus pusillus,1,2000,NA,2000,0,NA,NA,NA
Lophostrix cristata,1,1950,0,1950,0,NA,NA,NA
Lophotibis cristata,1,2000,0,2000,0,NA,NA,NA
Lophotriccus eulophotes,1,400,NA,400,0,NA,NA,NA
Lophotriccus galeatus,1,1100,NA,1100,0,NA,NA,NA
Lophotriccus pileatus,1,2300,100,2100,0,NA,NA,NA
Lophotriccus vitiosus,1,800,NA,800,0,NA,NA,NA
Lophotriorchis kienerii,1,NA,NA,1500,0,NA,NA,NA
Lophozosterops dohertyi,1,1400,200,NA,NA,NA,NA,NA
Lophozosterops goodfellowi,1,2400,1250,2400,1250,NA,NA,NA
Lophozosterops javanicus,1,NA,NA,1500,900,NA,NA,NA
Lophozosterops pinaiae,1,2450,1100,NA,NA,NA,NA,NA
Lophozosterops squamiceps,1,2500,1000,2500,1000,NA,NA,NA
Lophozosterops superciliaris,1,2140,1000,NA,NA,NA,NA,NA
Lophura bulweri,1,1500,150,250,150,1500,100,del Hoyo (2020)
Lophura diardi,1,800,0,800,0,NA,NA,NA
Lophura edwardsi,1,300,0,300,30,NA,NA,NA
Lophura erythrophthalma,1,300,0,300,0,NA,NA,NA
Lophura hoogerwerfi,1,2000,600,2000,600,NA,NA,NA
Lophura ignita,1,1000,0,1000,0,NA,NA,NA
Lophura inornata,1,2200,600,2200,600,NA,NA,NA
Lophura leucomelanos,1,3355,229,3700,25,3700,0,del Hoyo (2020)
Lophura nycthemera,1,NA,NA,2020,300,1600,200,del Hoyo (2020)
Lophura swinhoii,1,2000,300,2000,300,NA,NA,NA
Loriculus amabilis,1,450,0,NA,NA,NA,NA,NA
Loriculus aurantiifrons,1,1200,0,300,0,1600,0,del Hoyo (2020)
Loriculus beryllinus,1,1600,0,1250,0,1600,0,del Hoyo (2020)
Loriculus catamene,1,900,0,NA,NA,NA,NA,NA
Loriculus exilis,1,1000,0,1000,0,NA,NA,NA
Loriculus flosculus,1,1000,450,NA,NA,NA,NA,NA
Loriculus galgulus,1,1300,0,1300,0,NA,NA,NA
Loriculus philippensis,1,2500,0,1250,0,2500,0,del Hoyo (2020)
Loriculus pusillus,1,1850,0,1850,0,NA,NA,NA
Loriculus sclateri,1,450,0,NA,NA,NA,NA,NA
Loriculus stigmatus,1,1000,0,1000,0,NA,NA,NA
Loriculus tener,1,1200,0,500,0,900,0,del Hoyo (2020)
Loriculus vernalis,1,1800,0,1800,0,NA,NA,NA
Lorius albidinucha,1,NA,NA,2000,500,NA,NA,NA
Lorius chlorocercus,1,1000,0,NA,NA,NA,NA,NA
Lorius domicella,1,1100,300,NA,NA,NA,NA,NA
Lorius garrulus,1,1300,0,NA,NA,NA,NA,NA
Lorius hypoinochrous,1,1600,0,750,0,1600,0,del Hoyo (2020)
Lorius lory,1,1000,0,1100,0,NA,NA,NA
Loxia curvirostra,2,4500,0,4500,0,NA,NA,NA
Loxia leucoptera,3,NA,NA,1700,0,2400,0,del Hoyo (2020)
Loxia megaplaga,1,2600,540,2600,1500,2600,500,del Hoyo (2020)
Loxia pytyopsittacus,2,NA,NA,700,0,800,0,del Hoyo (2020)
Loxia scotica,2,NA,NA,500,0,800,100,del Hoyo (2020)
Loxigilla barbadensis,1,300,0,NA,NA,NA,NA,NA
Loxigilla noctis,1,900,0,NA,NA,NA,NA,NA
Loxigilla portoricensis,1,1000,0,NA,NA,NA,NA,NA
Loxigilla violacea,1,2000,0,2000,0,NA,NA,NA
Loxioides bailleui,1,3000,2000,NA,NA,NA,NA,NA
Loxipasser anoxanthus,1,1800,0,1800,0,NA,NA,NA
Loxops caeruleirostris,1,1600,600,NA,NA,NA,NA,NA
Loxops coccineus,1,2100,1100,NA,NA,NA,NA,NA
Lugensa brevirostris,2,NA,NA,NA,NA,500,0,del Hoyo (2020)
Lullula arborea,2,3000,0,3000,0,NA,NA,NA
Lurocalis rufiventris,1,3000,1650,3450,1200,3000,1600,del Hoyo (2020)
Lurocalis semitorquatus,1,NA,NA,2600,0,NA,NA,NA
Luscinia brunnea,3,3300,NA,3300,1660,3300,0,del Hoyo (2020)
Luscinia calliope,3,NA,NA,1500,0,1500,0,del Hoyo (2020)
Luscinia cyane,3,1600,0,1600,1000,1700,0,del Hoyo (2020)
Luscinia luscinia,3,NA,NA,1500,500,2200,0,del Hoyo (2020)
Luscinia megarhynchos,3,2300,0,2300,0,NA,NA,NA
Luscinia obscura,2,3350,400,2500,2100,3400,400,del Hoyo (2020)
Luscinia pectardens,3,3700,150,3700,2800,3700,100,del Hoyo (2020)
Luscinia pectoralis,2,4800,NA,4800,2600,4800,0,del Hoyo (2020)
Luscinia ruficeps,3,2800,2030,2800,2400,2800,1800,del Hoyo (2020)
Luscinia sibilans,3,NA,NA,1200,0,1200,0,del Hoyo (2020)
Luscinia svecica,3,3800,0,3800,2600,3800,0,del Hoyo (2020)
Lybius bidentatus,1,2300,NA,2500,750,NA,NA,NA
Lybius chaplini,1,NA,NA,NA,NA,1400,900,del Hoyo (2020)
Lybius dubius,1,1500,0,1100,0,1500,0,del Hoyo (2020)
Lybius guifsobalito,1,2200,900,2200,900,NA,NA,NA
Lybius leucocephalus,1,2300,600,2300,600,NA,NA,NA
Lybius melanopterus,1,1700,NA,1500,0,NA,NA,NA
Lybius minor,1,NA,NA,1500,0,NA,NA,NA
Lybius rolleti,1,2134,200,1250,750,2200,200,del Hoyo (2020)
Lybius rubrifacies,1,1550,1140,NA,NA,NA,NA,NA
Lybius torquatus,1,1820,0,1820,0,NA,NA,NA
Lybius undatus,1,3040,300,3040,300,NA,NA,NA
Lybius vieilloti,1,1500,0,1500,0,NA,NA,NA
Lycocorax pyrrhopterus,1,1700,0,NA,NA,NA,NA,NA
Lymnocryptes minimus,3,NA,NA,200,0,700,0,del Hoyo (2020)
Macgregoria pulchra,1,4000,2700,4000,2700,NA,NA,NA
Machaerirhynchus flaviventer,1,1300,0,1300,0,NA,NA,NA
Machaerirhynchus nigripectus,1,2750,850,2750,850,NA,NA,NA
Machaeropterus deliciosus,1,1900,100,2400,350,1900,100,del Hoyo (2020)
Machaeropterus pyrocephalus,1,1200,100,1500,0,1200,100,del Hoyo (2020)
Machaeropterus regulus,1,1500,100,1600,0,NA,NA,NA
Macheiramphus alcinus,1,NA,NA,2150,0,NA,NA,NA
Machetornis rixosa,1,NA,NA,3300,0,NA,NA,NA
Mackenziaena leachii,1,2150,0,2150,0,NA,NA,NA
Mackenziaena severa,1,1400,0,1400,0,NA,NA,NA
Macroagelaius imthurni,1,2000,500,2000,500,NA,NA,NA
Macroagelaius subalaris,1,3100,1900,3100,1900,NA,NA,NA
Macrocephalon maleo,1,1200,0,1375,0,NA,NA,NA
Macrodipteryx longipennis,2,1400,0,1500,500,2000,0,del Hoyo (2020)
Macrodipteryx vexillarius,2,2800,0,3000,0,NA,NA,NA
Macronectes giganteus,2,300,0,150,0,NA,NA,NA
Macronectes halli,2,NA,NA,NA,NA,200,0,del Hoyo (2020)
Macronous bornensis,1,1200,0,1600,0,1200,0,del Hoyo (2020)
Macronous flavicollis,1,NA,NA,400,0,NA,NA,NA
Macronous gularis,1,1800,0,1525,0,NA,NA,NA
Macronous kelleyi,1,1165,50,1165,50,NA,NA,NA
Macronous ptilosus,1,1000,0,1000,0,NA,NA,NA
Macronous striaticeps,1,1770,100,1770,100,NA,NA,NA
Macronyx ameliae,1,2200,0,2200,0,NA,NA,NA
Macronyx aurantiigula,1,1800,0,1000,0,1800,0,del Hoyo (2020)
Macronyx capensis,1,2300,0,2300,0,NA,NA,NA
Macronyx croceus,1,2350,0,2350,0,NA,NA,NA
Macronyx flavicollis,1,3000,1200,3100,1200,NA,NA,NA
Macronyx fuellebornii,1,2450,730,2450,730,NA,NA,NA
Macronyx grimwoodi,1,NA,NA,1500,800,NA,NA,NA
Macronyx sharpei,1,NA,NA,3500,2000,NA,NA,NA
Macropsalis forcipata,2,NA,NA,1800,0,1800,0,del Hoyo (2020)
Macropygia amboinensis,1,2100,0,2100,0,NA,NA,NA
Macropygia emiliana,1,1520,0,1500,0,NA,NA,NA
Macropygia mackinlayi,1,1500,200,1500,0,NA,NA,NA
Macropygia magna,1,NA,NA,NA,NA,1800,0,del Hoyo (2020)
Macropygia nigrirostris,1,2600,0,2600,0,NA,NA,NA
Macropygia phasianella,2,NA,NA,900,0,1600,0,del Hoyo (2020)
Macropygia ruficeps,1,2500,300,2500,300,NA,NA,NA
Macropygia rufipennis,1,NA,NA,NA,NA,700,0,del Hoyo (2020)
Macropygia tenuirostris,1,1600,NA,1600,0,NA,NA,NA
Macropygia unchall,1,3000,450,3000,450,NA,NA,NA
Macrosphenus concolor,1,1400,NA,1400,0,NA,NA,NA
Macrosphenus flavicans,1,1800,NA,1800,0,NA,NA,NA
Macrosphenus kempi,1,1500,NA,1500,0,NA,NA,NA
Macrosphenus kretschmeri,1,1800,NA,1800,0,NA,NA,NA
Macrosphenus pulitzeri,1,1030,300,1030,300,NA,NA,NA
Madanga ruficollis,1,1750,820,NA,NA,NA,NA,NA
Malacocincla abbotti,1,1100,0,1100,0,NA,NA,NA
Malacocincla cinereiceps,1,1300,NA,NA,NA,1300,0,del Hoyo (2020)
Malacocincla malaccensis,1,1000,NA,1000,0,NA,NA,NA
Malacocincla perspicillata,1,NA,NA,NA,NA,100,100,del Hoyo (2020)
Malacocincla sepiaria,1,NA,NA,1700,0,NA,NA,NA
Malaconotus alius,1,2100,1300,NA,NA,NA,NA,NA
Malaconotus blanchoti,1,1800,NA,1800,180,NA,NA,NA
Malaconotus cruentus,1,1900,0,1900,0,NA,NA,NA
Malaconotus gladiator,1,2300,950,2300,950,NA,NA,NA
Malaconotus lagdeni,1,3300,100,700,100,3300,100,del Hoyo (2020)
Malaconotus monteiri,1,1450,1000,1450,1000,NA,NA,NA
Malacopteron affine,1,700,NA,700,0,NA,NA,NA
Malacopteron albogulare,1,915,120,915,120,NA,NA,NA
Malacopteron cinereum,1,1200,0,1200,0,NA,NA,NA
Malacopteron magnirostre,1,1220,NA,900,0,1300,0,del Hoyo (2020)
Malacopteron magnum,1,1000,0,1000,0,NA,NA,NA
Malacopteron palawanense,1,100,0,NA,NA,NA,NA,NA
Malacoptila fulvogularis,1,2300,500,2300,500,NA,NA,NA
Malacoptila fusca,1,1200,0,1500,0,1200,0,del Hoyo (2020)
Malacoptila mystacalis,1,2100,350,2200,450,NA,NA,NA
Malacoptila panamensis,1,1400,NA,1400,0,NA,NA,NA
Malacoptila rufa,1,NA,NA,NA,NA,300,0,del Hoyo (2020)
Malacoptila semicincta,1,1050,0,1250,0,NA,NA,NA
Malacoptila striata,1,2100,0,2100,0,NA,NA,NA
Malacorhynchus membranaceus,2,NA,NA,350,0,900,0,del Hoyo (2020)
Malcorus pectoralis,1,NA,NA,1400,0,NA,NA,NA
Malia grata,1,2400,900,2400,900,NA,NA,NA
Malimbus ballmanni,1,400,NA,NA,NA,400,0,del Hoyo (2020)
Malimbus cassini,1,1350,NA,NA,NA,1400,0,del Hoyo (2020)
Malimbus coronatus,1,NA,NA,NA,NA,1000,0,del Hoyo (2020)
Malimbus erythrogaster,1,1500,NA,1500,0,NA,NA,NA
Malimbus ibadanensis,1,NA,NA,NA,NA,800,200,del Hoyo (2020)
Malimbus malimbicus,1,1900,NA,1900,0,NA,NA,NA
Malimbus nitens,1,1500,NA,1500,0,NA,NA,NA
Malimbus racheliae,1,400,NA,400,0,NA,NA,NA
Malimbus rubricollis,1,1700,NA,1700,0,NA,NA,NA
Malimbus scutatus,1,1000,0,1000,0,NA,NA,NA
Malurus alboscapulatus,1,2700,0,2700,0,NA,NA,NA
Malurus amabilis,1,500,0,500,0,NA,NA,NA
Malurus campbelli,1,NA,NA,1000,30,NA,NA,NA
Malurus coronatus,1,NA,NA,NA,NA,300,0,del Hoyo (2020)
Malurus cyaneus,1,NA,NA,900,0,NA,NA,NA
Malurus cyanocephalus,1,NA,NA,1000,0,NA,NA,NA
Malurus elegans,1,NA,NA,NA,NA,500,0,del Hoyo (2020)
Malurus grayi,1,1000,NA,1000,0,NA,NA,NA
Malurus lamberti,1,NA,NA,700,0,NA,NA,NA
Malurus leucopterus,1,NA,NA,600,0,NA,NA,NA
Malurus melanocephalus,1,NA,NA,800,0,NA,NA,NA
Malurus pulcherrimus,1,NA,NA,450,0,NA,NA,NA
Malurus splendens,1,NA,NA,700,0,NA,NA,NA
Manacus aurantiacus,1,1100,NA,1100,0,NA,NA,NA
Manacus candei,1,700,0,700,0,NA,NA,NA
Manacus manacus,1,1000,NA,1100,0,NA,NA,NA
Manacus vitellinus,1,1200,NA,1200,0,NA,NA,NA
Mandingoa nitidula,1,2400,NA,2400,0,NA,NA,NA
Manorina flavigula,1,NA,NA,700,0,NA,NA,NA
Manorina melanocephala,1,1200,NA,1200,0,NA,NA,NA
Manorina melanophrys,1,NA,NA,800,0,NA,NA,NA
Manorina melanotis,1,NA,NA,NA,NA,200,0,del Hoyo (2020)
Manucodia ater,1,NA,NA,1100,0,NA,NA,NA
Manucodia chalybatus,1,NA,NA,1700,0,NA,NA,NA
Manucodia comrii,1,2000,0,NA,NA,NA,NA,NA
Manucodia jobiensis,1,500,0,500,0,NA,NA,NA
Manucodia keraudrenii,1,2000,0,2000,200,NA,NA,NA
Margaroperdix madagascariensis,1,NA,NA,2700,0,NA,NA,NA
Margarops fuscatus,1,NA,NA,NA,NA,700,0,del Hoyo (2020)
Margarops fuscus,1,NA,NA,NA,NA,600,0,del Hoyo (2020)
Margarornis bellulus,1,1600,900,1600,1350,1600,900,del Hoyo (2020)
Margarornis rubiginosus,1,3000,1200,3000,1200,NA,NA,NA
Margarornis squamiger,1,3800,1500,3800,1500,NA,NA,NA
Margarornis stellatus,1,2200,1200,2200,0,2200,1200,del Hoyo (2020)
Marmaronetta angustirostris,2,NA,NA,400,0,700,0,del Hoyo (2020)
Masius chrysopterus,1,2300,400,2400,600,NA,NA,NA
Mayrornis lessoni,1,NA,NA,NA,NA,300,0,del Hoyo (2020)
Mayrornis schistaceus,1,450,0,NA,NA,NA,NA,NA
Mayrornis versicolor,1,80,0,NA,NA,NA,NA,NA
Mearnsia novaeguineae,1,550,0,550,0,NA,NA,NA
Mearnsia picina,1,NA,NA,1000,0,NA,NA,NA
Mecocerculus calopterus,1,1950,200,2400,500,2000,200,del Hoyo (2020)
Mecocerculus hellmayri,1,3000,800,3000,800,NA,NA,NA
Mecocerculus leucophrys,1,4400,1300,4600,1300,NA,NA,NA
Mecocerculus minor,1,2700,1600,2700,1100,2700,1600,del Hoyo (2020)
Mecocerculus poecilocercus,1,3050,1400,2800,1450,NA,NA,NA
Mecocerculus stictopterus,1,3600,1900,3600,1900,NA,NA,NA
Megabyas flammulatus,1,NA,NA,2150,0,NA,NA,NA
Megaceryle alcyon,2,2500,0,2500,0,NA,NA,NA
Megaceryle lugubris,1,2800,NA,2800,0,NA,NA,NA
Megaceryle maxima,1,1600,0,1600,0,NA,NA,NA
Megaceryle torquata,1,1500,0,2500,0,1500,0,del Hoyo (2020)
Megacrex inepta,1,NA,NA,500,0,NA,NA,NA
Megadyptes antipodes,1,NA,NA,150,0,NA,NA,NA
Megalaima armillaris,1,2500,NA,2500,600,NA,NA,NA
Megalaima asiatica,1,2450,0,2000,150,2500,100,del Hoyo (2020)
Megalaima australis,1,2000,NA,2000,0,NA,NA,NA
Megalaima chrysopogon,1,1500,NA,1500,250,NA,NA,NA
Megalaima corvina,1,2000,800,2000,800,NA,NA,NA
Megalaima eximia,1,1387,370,1387,370,NA,NA,NA
Megalaima faber,1,NA,NA,NA,NA,2000,200,del Hoyo (2020)
Megalaima faiostricta,1,1035,0,1035,0,NA,NA,NA
Megalaima flavifrons,1,2000,NA,2000,0,NA,NA,NA
Megalaima franklinii,1,2700,600,2800,900,2800,400,del Hoyo (2020)
Megalaima haemacephala,1,2250,0,1830,0,2300,0,del Hoyo (2020)
Megalaima henricii,1,950,NA,750,0,NA,NA,NA
Megalaima incognita,1,2000,400,1400,400,2000,400,del Hoyo (2020)
Megalaima javensis,1,1500,NA,1500,0,NA,NA,NA
Megalaima lagrandieri,1,2100,NA,2100,0,NA,NA,NA
Megalaima lineata,1,NA,NA,700,0,NA,NA,NA
Megalaima monticola,1,1670,300,1320,600,1700,300,del Hoyo (2020)
Megalaima mystacophanos,1,1060,0,1060,0,NA,NA,NA
Megalaima nuchalis,1,NA,NA,2800,300,NA,NA,NA
Megalaima oorti,1,2400,300,2400,600,2400,600,del Hoyo (2020)
Megalaima pulcherrima,1,3100,1000,3100,1000,NA,NA,NA
Megalaima rafflesii,1,800,NA,600,0,NA,NA,NA
Megalaima rubricapillus,1,NA,NA,1300,0,NA,NA,NA
Megalaima virens,1,3000,0,3000,0,NA,NA,NA
Megalaima viridis,1,2400,0,1500,0,2300,0,del Hoyo (2020)
Megalaima zeylanica,1,NA,NA,300,0,NA,NA,NA
Megalurulus grosvenori,1,NA,NA,1700,150,NA,NA,NA
Megalurulus llaneae,1,NA,NA,1550,150,NA,NA,NA
Megalurulus mariei,1,1000,NA,NA,NA,1000,0,del Hoyo (2020)
Megalurulus rubiginosus,1,1400,NA,1700,150,1400,0,del Hoyo (2020)
Megalurulus whitneyi,1,1700,150,NA,NA,NA,NA,NA
Megalurus albolimbatus,1,NA,NA,NA,NA,100,0,del Hoyo (2020)
Megalurus gramineus,1,NA,NA,1600,0,NA,NA,NA
Megalurus palustris,2,2000,0,2000,0,NA,NA,NA
Megalurus timoriensis,1,4000,0,2000,0,4000,0,del Hoyo (2020)
Megapodius affinis,1,2000,0,1500,0,2950,0,del Hoyo (2020)
Megapodius bernsteinii,1,450,0,NA,NA,NA,NA,NA
Megapodius cumingii,1,2000,250,2100,250,NA,NA,NA
Megapodius eremita,1,1500,0,1575,0,NA,NA,NA
Megapodius freycinet,1,450,0,NA,NA,NA,NA,NA
Megapodius geelvinkianus,1,450,100,NA,NA,NA,NA,NA
Megapodius laperouse,1,50,0,NA,NA,NA,NA,NA
Megapodius layardi,1,800,0,NA,NA,NA,NA,NA
Megapodius nicobariensis,1,670,0,NA,NA,NA,NA,NA
Megapodius pritchardii,1,260,0,NA,NA,NA,NA,NA
Megapodius reinwardt,1,1900,0,1500,0,1500,0,del Hoyo (2020)
Megapodius tenimberensis,1,NA,NA,NA,NA,100,0,del Hoyo (2020)
Megarynchus pitangua,1,2000,0,1900,0,NA,NA,NA
Megascops albogularis,1,NA,NA,3700,1300,NA,NA,NA
Megascops asio,1,NA,NA,1500,0,NA,NA,NA
Megascops atricapilla,1,NA,NA,600,0,NA,NA,NA
Megascops barbarus,1,NA,NA,2500,1400,NA,NA,NA
Megascops choliba,1,NA,NA,2800,0,NA,NA,NA
Megascops clarkii,1,NA,NA,3300,900,NA,NA,NA
Megascops colombianus,1,NA,NA,2300,1200,NA,NA,NA
Megascops cooperi,1,NA,NA,1000,0,NA,NA,NA
Megascops guatemalae,1,NA,NA,1700,0,NA,NA,NA
Megascops hoyi,1,NA,NA,2800,1000,NA,NA,NA
Megascops ingens,1,NA,NA,2400,1000,NA,NA,NA
Megascops kennicottii,1,NA,NA,2500,0,NA,NA,NA
Megascops koepckeae,1,NA,NA,4000,2200,NA,NA,NA
Megascops marshalli,1,NA,NA,2500,1650,NA,NA,NA
Megascops nudipes,1,NA,NA,NA,NA,900,0,del Hoyo (2020)
Megascops petersoni,1,NA,NA,2450,1600,NA,NA,NA
Megascops roboratus,1,NA,NA,2100,0,NA,NA,NA
Megascops sanctaecatarinae,1,NA,NA,1000,300,NA,NA,NA
Megascops seductus,1,NA,NA,1500,600,NA,NA,NA
Megascops trichopsis,1,NA,NA,2500,750,NA,NA,NA
Megascops watsonii,1,NA,NA,700,0,NA,NA,NA
Megastictus margaritatus,1,1250,0,1250,0,NA,NA,NA
Megatriorchis doriae,1,1650,0,1650,0,NA,NA,NA
Megaxenops parnaguae,1,1100,200,1100,200,NA,NA,NA
Megazosterops palauensis,1,NA,NA,NA,NA,300,0,del Hoyo (2020)
Meiglyptes jugularis,1,1000,NA,1000,0,NA,NA,NA
Meiglyptes tristis,1,1100,0,1100,0,NA,NA,NA
Meiglyptes tukki,1,1200,0,1200,0,NA,NA,NA
Melaenornis annamarulae,1,600,0,600,100,NA,NA,NA
Melaenornis ardesiacus,1,2450,1300,NA,NA,NA,NA,NA
Melaenornis edolioides,1,1800,NA,1800,0,NA,NA,NA
Melaenornis pammelaina,1,NA,NA,2000,0,NA,NA,NA
Melampitta gigantea,1,1400,650,1400,650,NA,NA,NA
Melampitta lugubris,1,3500,1150,2800,2000,3500,1100,del Hoyo (2020)
Melanerpes aurifrons,1,2500,0,2500,0,NA,NA,NA
Melanerpes cactorum,1,2500,NA,1700,0,2500,0,del Hoyo (2020)
Melanerpes candidus,1,2200,0,2500,0,2200,0,del Hoyo (2020)
Melanerpes carolinus,1,900,0,900,0,NA,NA,NA
Melanerpes chrysauchen,1,1500,NA,1500,0,NA,NA,NA
Melanerpes chrysogenys,1,1500,0,1500,0,NA,NA,NA
Melanerpes cruentatus,1,1500,0,1500,0,NA,NA,NA
Melanerpes erythrocephalus,1,NA,NA,1400,0,NA,NA,NA
Melanerpes flavifrons,1,1800,0,1800,0,NA,NA,NA
Melanerpes formicivorus,1,3300,0,3400,0,NA,NA,NA
Melanerpes herminieri,1,1000,0,NA,NA,NA,NA,NA
Melanerpes hoffmannii,1,2150,0,2150,0,NA,NA,NA
Melanerpes hypopolius,1,2100,900,2100,900,NA,NA,NA
Melanerpes lewis,3,2800,0,2800,0,NA,NA,NA
Melanerpes portoricensis,1,NA,NA,NA,NA,1000,0,del Hoyo (2020)
Melanerpes pucherani,1,1500,NA,1300,0,NA,NA,NA
Melanerpes pulcher,1,NA,NA,1500,250,NA,NA,NA
Melanerpes pygmaeus,1,NA,NA,NA,NA,200,0,del Hoyo (2020)
Melanerpes radiolatus,1,NA,NA,1800,0,NA,NA,NA
Melanerpes rubricapillus,1,1900,0,1900,0,NA,NA,NA
Melanerpes striatus,1,NA,NA,2400,0,NA,NA,NA
Melanerpes superciliaris,1,900,0,900,0,NA,NA,NA
Melanerpes uropygialis,1,1600,NA,1600,0,NA,NA,NA
Melanitta fusca,3,NA,NA,3000,0,3000,0,del Hoyo (2020)
